epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.09204,0.8794,0.68259,1,0.7915,0.00041266,0.00041266,0.00041266
2,11.4968,0.59767,0.66212,1,1.27383,0.000821117,0.000821117,0.000821117
3,15.0797,0.67849,0.61092,1,1.23809,0.00122132,0.00122132,0.00122132
4,18.7023,0.6916,0.67235,1,0.85234,0.00121287,0.00121287,0.00121287
5,22.2007,0.62533,0.65529,1,0.99326,0.0012005,0.0012005,0.0012005
6,25.7355,0.51004,0.60751,1,1.87305,0.00118812,0.00118812,0.00118812
7,29.3305,0.4817,0.7099,1,0.9334,0.00117575,0.00117575,0.00117575
8,32.8847,0.48837,0.64505,1,1.13984,0.00116337,0.00116337,0.00116337
9,36.4864,0.49021,0.66212,1,0.84629,0.001151,0.001151,0.001151
10,40.1886,0.39329,0.64164,1,1.32598,0.00113863,0.00113863,0.00113863
11,43.8683,0.3778,0.71331,1,0.87275,0.00112625,0.00112625,0.00112625
12,47.505,0.35053,0.7099,1,0.98291,0.00111388,0.00111388,0.00111388
13,51.0921,0.3705,0.69966,1,1.09697,0.0011015,0.0011015,0.0011015
14,54.776,0.34513,0.68601,1,0.89893,0.00108913,0.00108913,0.00108913
15,58.4835,0.33614,0.66553,1,1.01084,0.00107675,0.00107675,0.00107675
16,62.1006,0.31798,0.71672,1,0.89248,0.00106437,0.00106437,0.00106437
17,65.6194,0.3111,0.66212,1,1.58604,0.001052,0.001052,0.001052
18,69.2209,0.30907,0.68601,1,0.96836,0.00103962,0.00103962,0.00103962
19,72.7235,0.30409,0.70307,1,0.97061,0.00102725,0.00102725,0.00102725
20,76.3279,0.29372,0.73379,1,0.71553,0.00101488,0.00101488,0.00101488
21,79.9606,0.26283,0.75085,1,0.95469,0.0010025,0.0010025,0.0010025
22,83.6689,0.3171,0.66894,1,1.14082,0.000990125,0.000990125,0.000990125
23,87.3332,0.29336,0.72696,1,0.98438,0.00097775,0.00097775,0.00097775
24,90.8916,0.25084,0.69625,1,0.85332,0.000965375,0.000965375,0.000965375
25,94.4338,0.24945,0.72355,1,0.74902,0.000953,0.000953,0.000953
26,97.9954,0.23349,0.70307,1,1.03555,0.000940625,0.000940625,0.000940625
27,101.542,0.22836,0.72696,1,1.46543,0.00092825,0.00092825,0.00092825
28,105.114,0.22413,0.74403,1,0.83037,0.000915875,0.000915875,0.000915875
29,108.822,0.21275,0.72696,1,1.1373,0.0009035,0.0009035,0.0009035
30,112.493,0.21317,0.66212,1,1.46963,0.000891125,0.000891125,0.000891125
31,116.236,0.22605,0.70307,1,1.09482,0.00087875,0.00087875,0.00087875
32,119.82,0.19077,0.69283,1,1.09072,0.000866375,0.000866375,0.000866375
33,123.345,0.20087,0.74061,1,1.12139,0.000854,0.000854,0.000854
34,127.078,0.20728,0.66212,1,1.16064,0.000841625,0.000841625,0.000841625
35,130.758,0.18777,0.70307,1,0.9082,0.00082925,0.00082925,0.00082925
36,134.32,0.16976,0.67577,1,1.07539,0.000816875,0.000816875,0.000816875
